Name;Vote Account;Identity;REV;Inflation;MEV;Tx;User Tx;Vote Tx;Pri Fees;Sig Fees;Rewards;Stake;Votes;Latency;CU;Leader Slots;actual_stake_sol;stake_rank;mev_rank;rev_rank;inflation_pct;sig_fees_pct;priority_fees_pct;mev_pct;rev_pct;is_top10_stake;is_top20_stake;is_top50_stake;is_top10_mev;is_top20_mev;is_top50_mev;is_top10_rev;is_top20_rev;is_top50_rev
MAS DeFi;masvNDXtxVVMrYSV84RMry97JyHXAFcdfTZJ5VzpSYR;mastWEbKEMjvBCd1uaUBpNjWcfSPhXMWnH9tTrgzn1g;0.2957070754385965;0.2716576754385965;0.0016478;1260.0;564.0;696.0;0.0190915;0.0033214;0.0224016;853.0;1852.0;1.088;35438823.0;228.0;194484;309;663;660;16.82;18.42;37.89;12.89;13.4;0;0;0;0;0;0;0;0;0
Calypso;FRTcwF2LHHLV2VxKB9nzNpqyBXjpKvkEs5aRuMXrrk8X;3YVoK8UN62dyiPZnGBzBTkGdwsVmmK1MpRoLcxNRs9BE;0.29540146041666665;0.25116026041666667;0.0206599;1298.0;526.0;771.0;0.0201835;0.0034093;0.0235813;789.0;1126.0;1.054;32493972.0;384.0;302976;199;16;661;9.86;42.5;46.18;98.03;13.27;0;0;0;0;1;1;0;0;0
TdrSys;5CBkJdDPMWCmss3Y48B36w78Bgxur4mDib6tQ9yMKe1B;6xFDLX751L7H9d5fQT9sf2SM5RWWE9LDgqz25pPDbWoJ;0.2953166568627451;0.2665971568627451;0.0050339;1286.0;515.0;770.0;0.020323;0.0033744;0.0236856;836.0;2101.0;1.015;32955366.0;204.0;170544;355;304;662;14.85;31.45;47.89;60.13;13.14;0;0;0;0;0;0;0;0;0
;9hHEiSDTz9LeA4B4N2tJp6SPchwWZbV1X7zWN8hYoMhb;5P35CJVKU15Rrh5M6EVkre23EyA3K34kAut2GXhHKM7W;0.2947150714285714;0.2731560714285714;8.5e-06;1332.0;555.0;776.0;0.0180241;0.0035396;0.0215505;857.0;15204.0;1.023;33215402.0;28.0;23996;729;734;663;17.61;85.39;31.71;3.55;13.01;0;0;0;0;0;0;0;0;0
STSS Validator;EeitHdhXPu3pYMb5oPHvLjkaKQMUPzdNnxvrXc3EEHxj;AqyRvpjjSN6jWYPxijoJwhmKwJFk6fRYDh9fQZHcJ2o7;0.2946674892086331;0.26421348920863313;0.0021595;1337.0;563.0;773.0;0.0247892;0.0035179;0.0282945;829.0;774.0;1.01;35222080.0;556.0;460924;156;585;664;13.67;80.13;73.82;23.16;12.88;0;0;0;0;0;0;0;0;0
OneLink Solutions;1LinkCP4qUqGvUiNuAWhAxQyopdBxsh4vhfLBb4apyR;1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG;0.294632603125;0.264843203125;0.0045409;1335.0;557.0;777.0;0.0217384;0.0035228;0.0252485;830.0;3351.0;1.012;37310994.0;128.0;106240;468;365;665;13.93;81.45;57.37;52.11;12.75;0;0;0;0;0;0;0;0;0
Blockchain at Georgia Tech;GLB3jUr5zuu79zFuEH3KP7boxtWsjHVyYRBK2SPshrk;13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk;0.29395319285714283;0.26992589285714286;0.0033447;1399.0;619.0;779.0;0.0170341;0.003662;0.0206826;847.0;3853.0;1.511;35860406.0;56.0;47432;670;467;666;15.9;95.39;25.53;38.68;12.61;0;0;0;0;0;0;0;0;0
Suzuko Stake;hxVjzDmta9TuN1gM981TRKnfwG2uZ9TQDGwSCs3uDow;hxMhrsuGPDmkLJ4mTxEjyeMST3VGhTiwJvS9XgHwePj;0.2930673875;0.2670876875;0.0017142;1341.0;594.0;746.0;0.0207416;0.0035368;0.0242655;838.0;2539.0;1.114;37314898.0;160.0;134080;418;652;667;15.11;84.34;51.45;14.34;12.48;0;0;0;0;0;0;0;0;0
Cryptology;BfxZj7ckfRGHxByn7aHgH2puyXhfjAUvULtRjJo4rd8C;9fa5wcqnAQqHyn58U1vHHLuZW5GXLcoho7hKT17jGJfZ;0.29245293333333333;0.26371833333333333;0.0;1422.0;623.0;798.0;0.0250532;0.0036962;0.0287346;827.0;35562.0;1.021;39981396.0;12.0;9924;757;756;668;13.27;97.11;75.13;0.0;12.35;0;0;0;0;0;0;0;0;0
Jito1 (Experimental);J1to1yufRnoWn81KYg1XkTWzmKjnYSnmE2VY8DGUJ9Qv;CXPeim1wQMkcTvEHx9QdhgKREYYJD8bnaCCqPRwJ1to1;0.29121797961165047;0.26096567961165046;0.0049481;1294.0;526.0;767.0;0.0219082;0.0034077;0.0253042;823.0;1042.0;1.024;34591037.0;412.0;339076;184;309;669;12.48;41.45;58.16;59.47;12.22;0;0;0;0;0;0;0;0;0
Goldsand;SANDhe6azby4EMLJd8N77QTk5K92n2tCi4NXba7iwuc;SANDCxXBbQhvbUqNtiLqKdFEY1uQhVo1UgUACaS4mXU;0.29108530526315785;0.25665460526315786;0.0145324;1224.0;453.0;770.0;0.0166834;0.0032172;0.0198983;806.0;5562.0;1.034;28770666.0;76.0;61256;622;50;670;10.91;7.11;23.03;93.55;12.09;0;0;0;0;0;1;0;0;0
00💥Green House Crypto⚡️Jito BAM;BSRRvjdKd8SHApi3KtTGbzrdhUojitiwAt4xt4nAxbFh;DtY5Bzxd75iWQRvKwM2xLUxqwLT1RRoeNwmVvgS2JANA;0.2896985;0.26136750000000003;0.0099642;1223.0;449.0;773.0;0.0151667;0.00321;0.0183668;820.0;7145.0;1.014;30440138.0;60.0;49200;664;100;671;12.75;6.71;14.34;86.97;11.96;0;0;0;0;0;0;0;0;0
STEALTH;8D8XL6ovqx15RKwC1XtFyTz6H8JYF2fUsxTnsY4b123P;93Q99nhdKjuSe6WNXgMBbC3s8QVQEAoHKt91PNRkUkMn;0.2890619638297872;0.2621335638297872;0.0036446;1272.0;508.0;764.0;0.0199394;0.0033567;0.0232838;822.0;2280.0;1.014;33256514.0;188.0;154536;380;438;672;12.88;25.0;44.61;42.5;11.83;0;0;0;0;0;0;0;0;0
Luminal;LunarE7WQyxpPwKo2hkEZZquu6UDWMNjvf3JyzGmdfp;1unarWPGGseFag2WfnoFv8o9P7vTPU8eHex9GinP3eY;0.2886064777777778;0.2542772777777778;0.0051923;1340.0;575.0;765.0;0.025626;0.0035227;0.0291369;799.0;2214.0;1.198;36297932.0;180.0;143820;400;297;673;10.51;81.32;77.11;61.05;11.7;0;0;0;0;0;0;0;0;0
🤖 RoboRun.xyz;R2D2vs3bJwpNF2ejaB6UW1JdCZ5VstuAmuwxDuUUWNj;R2D2imoV8nXk1ngT9v4dEK65We4uLNyUarTBdWbFruq;0.2877887333333334;0.27301083333333337;0.0017634;1232.0;465.0;767.0;0.0097683;0.003256;0.0130145;856.0;11898.0;1.015;30642615.0;36.0;30816;712;643;674;17.48;10.66;1.71;15.53;11.56;0;0;0;0;0;0;0;0;0
Mythx;mythxna3hpzXSbaseyR12vu5Vvym1HxS92eCgXLvY7w;mythxvB89eT3C1TKwwhsvdHfYq2aoCt2es8vLoDFYyk;0.28741396666666663;0.25823916666666663;0.0075569;1315.0;571.0;743.0;0.0181722;0.003457;0.0216179;810.0;4338.0;1.056;35963617.0;96.0;77760;550;163;675;11.7;60.92;32.63;78.68;11.43;0;0;0;0;0;0;0;0;0
nodtech;H9p8zGs56CnL4b7RrbwQ6htc6V4K8PUtKvqH2m7hYAtL;AiBEt9kE8yZ4CnaLfTCGMp7Fg2wCtqhPTfvJ8D3zrLfu;0.2871956205882353;0.2635152205882353;0.0027982;1295.0;535.0;759.0;0.0174891;0.0034051;0.0208822;827.0;3123.0;1.026;35459583.0;136.0;112472;459;525;676;13.14;40.13;28.29;31.05;11.3;0;0;0;0;0;0;0;0;0
