epoch;jito_total_mev_lamports;jito_total_mev_sol;jito_stake_weight_lamports;jito_mev_reward_per_lamport
579;4223747610920;4223.747611;238939551854284589;1.767705504652415e-05
580;6059806310825;6059.806311;240334232371170263;2.5214078955952822e-05
581;5709192112448;5709.192112;242874642517380975;2.350674427462896e-05
582;7825209135461;7825.209135;241987824187658920;3.233720193042703e-05
583;10732963379397;10732.963379;242976053864210109;4.417292654442086e-05
584;16586118829987;16586.11883;246952342415526906;6.716323752086087e-05
585;13900207420315;13900.20742;244656772942030951;5.681513433355274e-05
586;5804921731273;5804.921731;246420553679635271;2.3556970571618073e-05
587;6504103583216;6504.103583;246570875638149026;2.637823127481199e-05
588;9397954079278;9397.954079;248062540928512142;3.788542213629243e-05
589;11378664813421;11378.664813;258762885576131897;4.3973326345030366e-05
590;14708495218102;14708.495218;261075141103408397;5.6338168222137095e-05
591;13369486318175;13369.486318;261304245569933939;5.1164443535981e-05
592;10467377168367;10467.377168;262247659606318014;3.991409183243221e-05
593;11850304184604;11850.304185;265222730470238442;4.468057531718143e-05
594;11755885548015;11755.885548;266575745706630125;4.409960672473368e-05
595;14641215565999;14641.215566;266511727462468154;5.4936477675493165e-05
596;17749733203603;17749.733204;258890642733806583;6.856073675035608e-05
597;19935014774566;19935.014775;259705932901809217;7.675995134890939e-05
598;19048910428837;19048.910429;268811430114079605;7.086346894085911e-05
599;21270197396270;21270.197396;269420611939984081;7.894792177596319e-05
600;19630470685094;19630.470685;273972433518536409;7.16512622565213e-05
601;18343098709165;18343.098709;276034276496307296;6.645224985097236e-05
602;14604172742834;14604.172743;274561005685613012;5.319099376972911e-05
603;11281814297405;11281.814297;272307058587371532;4.143048790556839e-05
604;12192481925364;12192.481925;274178065485623306;4.446920983182486e-05
605;12083909544404;12083.909544;273324663040988585;4.421082755562333e-05
606;16395955881170;16395.955881;283267627758341431;5.788150241847459e-05
607;14549065399910;14549.0654;281505183760159762;5.168311718304161e-05
608;14471997205343;14471.997205;287482861698565576;5.034038244866689e-05
609;14523137212456;14523.137212;282573810617358195;5.139590672159715e-05
610;19572252696687;19572.252697;283011871435403929;6.915700248692313e-05
611;18800638030164;18800.63803;284670730852924412;6.604345298806774e-05
612;18026725261728;18026.725262;286011960915440641;6.302787199538693e-05
613;14551314259653;14551.31426;285481416267149070;5.0971143585879186e-05
614;18828971938915;18828.971939;290255337067009394;6.48703728557731e-05
615;20744366298085;20744.366298;293848100416322330;7.059554330517877e-05
616;15869764780480;15869.76478;293571299932040814;5.405761661359169e-05
617;15868451141337;15868.451141;294455052260543095;5.389091142948396e-05
618;16536297265371;16536.297265;294554505346645231;5.614002490272667e-05
619;15746139873275;15746.139873;285698769727060569;5.511448260109036e-05
620;16211504834212;16211.504834;285933704265730291;5.669672582266119e-05
621;25635870728610;25635.870729;286712145667579807;8.941327082227195e-05
622;21365730454829;21365.730455;285286822996502777;7.489210413020343e-05
623;17690220939178;17690.220939;287801505620936620;6.146674215970847e-05
624;18374934322505;18374.934323;294338805397707501;6.242783481327575e-05
625;23399483806396;23399.483806;295329811344341269;7.923170268481043e-05
626;28971851875726;28971.851876;300228816886670961;9.64992374021917e-05
627;23343109881926;23343.109882;297625789318243051;7.843107257404315e-05
628;23293816760142;23293.81676;298407556924922978;7.806041174085461e-05
629;12258223992519;12258.223993;304886317291301935;4.0205884283114444e-05
630;18569821360541;18569.821361;304724403516584471;6.093972503101593e-05
631;19167406784027;19167.406784;303516363361647284;6.315114800314261e-05
632;15419479012658;15419.479013;305824777352697828;5.0419325556723e-05
633;13434936033259;13434.936033;308039166230645515;4.361437604723141e-05
634;14970721716918;14970.721717;307099508464207941;4.874876482800629e-05
635;15703295888044;15703.295888;303259112128278554;5.1781777562553534e-05
636;13842651413187;13842.651413;304296228016623252;4.549070983696452e-05
637;12880276647141;12880.276647;305275772288536843;4.219226619453763e-05
638;12011651929267;12011.651929;306174837895230047;3.923134902867906e-05
639;12469216493658;12469.216494;305504806711228100;4.081512375497339e-05
640;10370383251823;10370.383252;306042612370294517;3.3885422593620435e-05
641;10661811891927;10661.811892;304168853948596143;3.505228018424537e-05
642;16413148805312;16413.148805;302883077317931223;5.418971885340229e-05
643;12980974260257;12980.97426;307790788071734840;4.21746678696297e-05
644;10962366561908;10962.366562;308131596285034275;3.557689861758728e-05
645;11215983031878;11215.983032;307962283865073120;3.6419989133448676e-05
646;13506761676691;13506.761677;313558519620619687;4.307572855310416e-05
647;21764060265422;21764.060265;313186492521428283;6.949233375361135e-05
648;30346214145647;30346.214146;317106714247162870;9.569716685971592e-05
649;29160551109744;29160.55111;317071696511075723;9.196831956498957e-05
650;23031133686646;23031.133687;311301232242996810;7.398343244805489e-05
651;17885632314507;17885.632315;313615158813041285;5.7030509565289704e-05
652;25571496927874;25571.496928;312785504526883779;8.175409844056933e-05
653;24557395882408;24557.395882;313524614204981013;7.832685144890245e-05
654;15871919746075;15871.919746;313581534893021548;5.061496925030905e-05
655;18683260019085;18683.260019;313906798447385568;5.95184943795237e-05
656;16376713842836;16376.713843;315570629173850428;5.1895557852482954e-05
657;11603658170956;11603.658171;312915946646885321;3.708234845586289e-05
658;13269179076870;13269.179077;315752088284348926;4.20240421812207e-05
659;6625419740360;6625.41974;317731826522580180;2.0852238231441864e-05
660;7477748816234;7477.748816;310628979262851046;2.4072927239368755e-05
661;6190602141250;6190.602141;311303089974568892;1.9886092816347326e-05
662;7776278446894;7776.278447;311937392051206503;2.492897179065174e-05
663;6656060606355;6656.060606;313573279427635726;2.1226491678450046e-05
664;5029404255054;5029.404255;314255652132576807;1.600418073922889e-05
665;6761039494664;6761.039495;315778633064028888;2.1410693399553406e-05
666;5720963317116;5720.963317;317249745623484137;1.803299575819269e-05
667;4045023232715;4045.023233;316826143945113639;1.2767327791660248e-05
668;5352843366532;5352.843367;317030731587175667;1.688430436927563e-05
669;5702557070933;5702.557071;316907155372102925;1.7994409322305228e-05
670;4745294504443;4745.294504;305455487877112882;1.5535142411165545e-05
671;4534119179531;4534.11918;307474168135629548;1.474634180498363e-05
672;5902708455509;5902.708456;307315310618577848;1.920733608627493e-05
673;5629354178096;5629.354178;308068655825318449;1.8273050736092945e-05
674;6344727762149;6344.727762;308980577474199688;2.053439026496348e-05
675;9830755225249;9830.755225;309224493992135209;3.1791644634396374e-05
676;21869318345026;21869.318345;309490038295238853;7.066243057608112e-05
677;22456331673910;22456.331674;321840324902862062;6.977476076277197e-05
678;22124823544593;22124.823545;326489235390856541;6.776585916563611e-05
679;19695739834836;19695.739835;330754811448666190;5.9547855853014006e-05
680;18942427135714;18942.427136;329684781737295868;5.7456176884767386e-05
681;19832352549926;19832.35255;334516894846442654;5.928654981396347e-05
682;20561361189116;20561.361189;341796837379935102;6.015667478590613e-05
683;25867839348556;25867.839349;341893621115566383;7.566049130765206e-05
684;34397744711247;34397.744711;347385586779415939;9.901891736541446e-05
685;40467506010665;40467.506011;347466791885484679;0.00011646438438353545
686;48918516226688;48918.516227;347655005996286170;0.00014070994342940823
687;49788890680849;49788.890681;348685349418070883;0.000142790314430884
688;65294078444475;65294.078444;348277906112536050;0.0001874769467098412
689;45789526129088;45789.526129;348735277366014063;0.00013130167522751
690;54799781900814;54799.781901;349904857112442499;0.00015661337871398568
691;44057703482962;44057.703483;348718274701541808;0.00012634182570635206
692;36953192269837;36953.19227;350278375991595150;0.00010549664153611265
693;40910087715062;40910.087715;350377253446029444;0.00011676011302875176
694;47429818252541;47429.818253;350606666369153715;0.00013527928246122436
695;37793551643746;37793.551644;349886675307542766;0.00010801655024595118
696;64464664939194;64464.664939;356305373904578753;0.00018092532322136156
697;79517522641983;79517.522642;353939713720968563;0.00022466403050964585
698;89822343909259;89822.343909;355462816926938505;0.00025269125104503126
699;111012321412413;111012.321412;352944301155301793;0.00031453212602961276
700;116070354050243;116070.35405;352900483707920502;0.00032890392450215253
701;73820625651296;73820.625651;351553125203365827;0.0002099842679782533
702;61117999272417;61117.999272;357252576760810689;0.00017107784029599034
703;64331102356244;64331.102356;358130077299843618;0.00017963054888121816
704;51147094107423;51147.094107;360390574565045093;0.00014192128684040184
705;44294049077162;44294.049077;360089370395570768;0.0001230084882219751
706;46772845571711;46772.845572;360245308203181328;0.00012983609919863475
707;38964814802529;38964.814803;359346107902722589;0.00010843254997234321
708;27781891984378;27781.891984;360118582186743845;7.714651050684011e-05
709;43919559674580;43919.559675;360850079895554015;0.0001217113757804689
710;49826942482446;49826.942482;358775602307150385;0.00013888052075455452
711;44346055789981;44346.05579;362586656640666879;0.0001223047097233066
712;34995983165031;34995.983165;362256114332392878;9.660563833277351e-05
713;45821029759147;45821.029759;362702891449615291;0.00012633213255073322
714;49435123398157;49435.123398;363564587394605943;0.00013597342841452562
715;35695470311571;35695.470312;362805264114459356;9.838741011296254e-05
716;28750672019612;28750.67202;361931309200284733;7.943681933220654e-05
717;37276543402464;37276.543402;361747254927383889;0.00010304582244845725
718;34359330137875;34359.330138;362926562391831111;9.467295507783525e-05
719;38270308793711;38270.308794;363898703965744013;0.00010516747758825108
720;40840025195907;40840.025196;362057727379227077;0.0001127997612191005
721;56456529406359;56456.529406;363985511737754715;0.00015510652920447821
722;55134526243289;55134.526243;363530440090307729;0.00015166412537445987
723;61757158197144;61757.158197;364327706462210050;0.0001695099140189871
724;63847731168244;63847.731168;366007915681137802;0.00017444358013247852
725;56750472480769;56750.472481;364895754578731607;0.00015552516511540903
726;54574447611877;54574.447612;364335803944872381;0.00014979161263034872
727;58037990581684;58037.990582;361073989526464781;0.0001607371127945236
728;79447052255319;79447.052255;361270573599309952;0.00021991011186932373
729;181353994082048;181353.994082;357255402032972606;0.0005076312157914132
730;103082100573695;103082.100574;347618644074094481;0.00029653789384128423
731;129553184016673;129553.184017;350311034647907734;0.000369823303302121
732;85856723806240;85856.723806;350350075576828589;0.0002450598124315586
733;77789973855167;77789.973855;350971858898895048;0.00022164162705015067
734;92746565883758;92746.565884;351426413751214799;0.0002639146127172332
735;57065254824485;57065.254824;348764549056475501;0.00016362114492102353
736;46556984304007;46556.984304;348440623608066028;0.00013361525938598756
737;49698693424808;49698.693425;347047793757343184;0.000143204176251175
738;41430168794944;41430.168795;348618216241303494;0.00011884108995115514
739;48660389320010;48660.38932;355618401371881422;0.00013683315917368486
740;73181046308335;73181.046308;352377512670807900;0.0002076779694415431
741;51958232726407;51958.232726;353626635767395342;0.00014692963558487015
742;44405262883957;44405.262884;354621676817209559;0.00012521869300969379
743;26514668902987;26514.668903;356961845730876609;7.42787197570049e-05
744;30063158547683;30063.158548;356510375393910556;8.432618129126265e-05
745;25336073462022;25336.073462;352098437864689529;7.195735833329252e-05
746;19457390446353;19457.390446;353206889606865552;5.508779986712579e-05
747;22136876770432;22136.87677;360367343522409429;6.14286426568378e-05
748;18152287386944;18152.287387;359749405032286741;5.0458144288841485e-05
749;13601626665768;13601.626666;355479760951411928;3.826273155288611e-05
750;23480162751772;23480.162752;352200451418155870;6.666704331930224e-05
751;19427956561276;19427.956561;357957221472144223;5.427452051777606e-05
752;23258909453485;23258.909453;359177753149108569;6.475598571894103e-05
753;17087564450455;17087.56445;360379178436362455;4.741551530417401e-05
754;17051873328970;17051.873329;360933795258418881;4.7243770334006316e-05
755;17979923092808;17979.923093;357652143263027060;5.0272096592987775e-05
756;16657640504708;16657.640505;358004258775182607;4.6529168568267134e-05
757;15311708860021;15311.70886;357105530709581050;4.2877266083211044e-05
758;15625914180006;15625.91418;361461786568774863;4.3229781848690325e-05
759;12352910999256;12352.910999;360651386588556380;3.425166645303552e-05
760;10180881822482;10180.881822;361557006663636725;2.8158441503952003e-05
761;24699699939652;24699.69994;362258700333988351;6.818248924561327e-05
