account,name,activeStake,softwareClient
8vk6QpG93JSaQCSgnycBsv5qmfQBk4qC9FjNA35E5JhU,"Tinydancer",337871239661413,JitoLabs
LeDbQ99QT342j9S5YdyXLrsq2Gu3T3dMGajExdAuE3V,"Ledger by Chorus One",335010238793358,JitoLabs
hy1oMaD3ViyJ8i6w1xjP79zAWBBaRd1zWdTW8zYXnwu,"Hylo",334850380060141,JitoLabs
mds4GEuiSgQRqveGyktWpETBFCb4AS2wDnhqwLHcT6Z,"",332542071037886,Agave
4XspXDcJy3DWZsVdaXrt8pE1xhcLpXDKkhj9XyjmWWNy,"Ubik Capital - 0% Fee, MEV",331237278888194,AgaveBam
H9ENbtmy2tWFtAJNmpC8xQtbcr1NTp4FXLdphRaG8L2T,"Bubbles",327714292745075,JitoLabs
SLAY6uN1zZpXBTfbuDDCesNmM5D288xrz8uYvfS3n41,"Solayer Validator [5% Commission + 100% MEV Kickback]",323717267348495,Rakurai
6NDen7aDi65apHo8m1Vea4nuS6LyjQeM6pDNqcW4Q5Pg,"0node.io",321503719672786,JitoLabs
spcti6GQVvinbtHU9UAkbXhjTcBJaba1NVx4tmK4M5F,"Staker Space",318157805804509,AgaveBam
7GkMBmtrTZz8QbjSe1sXvAUtz7Pp42SQxfT5ymmJD4We,"Phantom Validator",317668858047581,AgaveBam
2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,"",311116970257575,AgaveBam
Ste1115xFGdAYK5jaWA3dEFcUc1S5jEbVvD8e327zty,"Stellium",306143881454898,JitoLabs
D2RV1q6FgePVVjrMa7AMzVbvvAeg5oS7TAV7qdNKSDsX,"Validatore",303704112724206,JitoLabs
3YVoK8UN62dyiPZnGBzBTkGdwsVmmK1MpRoLcxNRs9BE,"Calypso",303325497211674,JitoLabs
BUokhb8pPF9MZuzW3rHLr6jzakgcz3NDq2PZkpiVv3jb,"DeFi Dev Corp (NASDAQ: DFDV)",303294560932662,HarmonicAgave
5ikB9XZNVsjwKb6hHT3FS3So1Z1SrDvU5yaniWEQyDEG,"",302817327440562,JitoLabs
44VSCibTpr8Fn1Hk8fazhkuSrrSTYZX2f76b2xqKPwmt,"",301071156750326,Rakurai
AHZxzLeRGRfNVFrCmP58iJgEwbcXyZeAkZ32CmbfEmYR,"",299997996434260,Firedancer
CTDGxTK789ZvhgyHZHtSnxTtysbyY1mrywXEJiYYqXxC,"Cointelegraph Decentralization Guardians",299043176625540,AgaveBam
nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY,"Hypo Nyms",297257913537523,HarmonicAgave
5MAGJ3zShtXMMVXjZRoFqtFF7XhP8iLSyZrxdL7KpjcB,"",296857670310675,JitoLabs
ALPHA6rdHZkx1om79xp47vX1iZXcbM3qfEwLyttZ1T7R,"Lifetime 0% fee + full MEV payout | Alphasearch",296821690153699,AgaveBam
BULKzVM41WAyQZfL34vxqdsYwEYH9mJAJyzRS4xraf8b,"BULK",294063976772906,JitoLabs
5VrW7YNBccVnhnZVmooCePdLFcs2UjfxRT3hoY9mN8Ec,"Appleyello",293205709423208,AgaveBam
A4hyMd3FyvUJSRafDUSwtLLaQcxRP4r1BRC9w2AJ1to2,"Jito2",293205484264979,AgaveBam
8Yq98CFAorqAc3CN7XtMVgKLrBc78wsBvjhAbFr4sNQ5,"MightyMooseValidator",290978031436989,JitoLabs
8yjHdsCgx3bp2zEwGiWSMgwpFaCSzfYAHT1vk7KJBqhN,"JStaking: 0% fee · top returns",285928699460200,AgaveBam
2oHUYyW2PU9VJh4XBs5TbGgzdernunvGqyKth3kxW4ns,"",280745689124988,AgaveBam
5marvipGzf98hxnoJFXsZbGHSXcEQ3yRGJ4ps7D3V4ou,"MARVEL+MEV!",280076776760276,JitoLabs
PRGNnb8DxVcP2WjSHfVRGgc8SkA5u6dbMwoTVV1BGKN,"Paragon",279262513935860,Frankendancer
