Name,Vote Account,Identity,REV,Inflation,MEV,Tx,User Tx,Vote Tx,Pri Fees,Sig Fees,Rewards,Stake,Votes,Latency,CU,Leader Slots
Validator 1,steakxfubt37xYdvuXz7BV5Uhhhk1FyJx9zGHfDcTVr,EUDis6LJeJzDHTEBgfHGQyjHp63XZkGkx4E69xunC2Ej,0.36880655185185185,0.3080893518518519,0.0179833,1322,583,739,0.0392589,0.0034868,0.0427339,978,3706,1.119,36746533,108
Bubbles,BH2PMb9vuHxkVFMMHbH8iudCoBfUoX5tVaHfnEkKJ2gQ,H9ENbtmy2tWFtAJNmpC8xQtbcr1NTp4FXLdphRaG8L2T,0.3686529282051282,0.3346551282051282,0.0020196,1345,570,774,0.0284475,0.0035432,0.0319782,1050,1380,1.01,37083751,312
,CMPxjQDTDyXKh3ZsKP7HLwi3tvgSVpFtLJYMxbeNZE68,EXckihF3qmguH5znjhfzLvHsbk2E3nEW2DqNh4MMnDMm,0.36856655776081426,0.3108661577608143,0.0095362,1540,754,785,0.0440741,0.0041091,0.0481642,976,273,1.01,45629558,1572
,2zxo26eJJSryYa5fdMRoWWvPTx8aoeqZHe6L4767sCaN,scs1NCSTafrUX6RBx113B9YDCepo1QdEzU8WwEkf25i,0.3676530538461539,0.3506111538461539,0,1249,511,738,0.0137635,0.0032892,0.0170419,1103,7561,1.221,32802498,52
Radiants,radYEig9KGrMTMWbWRFV7LStotQbnLgPaEFHVDsudQz,radM7PKUpZwJ9bYPAJ7V8FXHeUmH1zim6iaXUKkftP9,0.367338134375,0.339687734375,0.007892,1170,450,720,0.0167206,0.0030462,0.0197584,1066,1628,1.054,26440583,256
Hyper 🫨,DzQHN1oTdN85Sbku2bc9Fu9yEwrgRMiu2XbRcntZ31yb,HyperSPG8w4jgdHgmA8ExrhRL1L1BriRTHD9UFdXJUud,0.3671015136363636,0.34821261363636363,0,997,408,588,0.0162703,0.0026285,0.0188889,1092,2398,1.037,24698378,176
,AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX,FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,0.3669969236842105,0.3300444236842105,0.0038115,1343,567,775,0.029618,0.0035352,0.033141,1035,113,1.009,34632634,3800
SolGuardian,JnGGar3XbAN6J3cKGRbNajCuhqnc9XWrk6WWr6hDmuM,HcZvwZ83PfjrQDiq3GLHxisTs17aGURs6bJ2LwtmL4qv,0.3663516205882353,0.3295977205882353,0.0083369,1295,523,771,0.0250531,0.0033755,0.028417,1038,1052,1.01,34312907,408
Astraeus,NDf9Pv6TAxTDPR6ud3djsd2Ux1WS2m2YfTw4qEmSnQH,2dfgsiSaZ51QYPsECMYMG247PXxyKdwkV9wTHoQb8YEC,0.36590526860465117,0.32753566860465116,0.0145113,1394,620,774,0.0201867,0.0036848,0.0238583,1029,1247,1.01,38374449,344
GREED Academy - funding education,GREEDkpTvpKzcGvBu9qd36yk6BfjTWPShB67gLWuixMv,GREEDkgav1ox1jYyd9Anv6exLqKV2vYnxMw5prGwmNKc,0.3658618143884892,0.3355445143884892,0.0065968,1293,525,768,0.0203295,0.0034022,0.0237205,1056,771,1.01,33142786,556
