account,name,activeStake,softwareClient
3RXKQBRv7xKTQeNdLSPhCiD4QcUfxEQ12rtgUkMf5LnS,"Chainode Tech & MEV(0% Fee)",431581062996225,JitoLabs
DF1owXYZ1fk5vWyHJ8s1cJeAozgkqsi1JUVqvktqrpwd,"",418020332250959,JitoLabs
bkpk9KVsDRfrArzzmkJ9mPEvbXfQxczzQYR3QMGiR8Z,"Backpack",414402062715296,AgaveBam
Diman2GphWLwECE3swjrAEAJniezpYLxK1edUydiDZau,"diman",408653783985886,Agave
6MiEjXqYksCtKnJpvAp3CAoEZnnWZyoSxu41HCzAYNdc,"",401470448260825,JitoLabs
EfPYQ4BUMiKa6736qqrtnCBGkUSRDGSr1WvtyUgWHuyp,"",398436621121633,AgaveBam
anza1rXDVhy1NfVNtsbT3kSBh2jgB1BGZUKuUibSAJd,"Anza",392048675275389,JitoLabs
9iFPQbP1jGkj67sXg6YLLGRUBVEDMcapdS6jmCZSnz8R,"",390140259418943,Harmonic
mint13XHZSSxtgHuTSM9qPDEJSbWktpmpM4CZxeLB8f,"Hanabi Staking 🎆 | Staking Champions | DoubleZero | ❌BAM",381325909599058,Frankendancer Rev
BfgMdL4FaNHp5zZpD7WMYG5sZUrCWQPEjXDwWS7M5q3F,"",375322049371427,JitoLabs
6vG7fgweSfvY7JRViG4HwKgV9u6JKhMpf2bqr6TKNjUW,"InfraMesh",367645055932068,JitoLabs
soLStaCk5TiGCpeLKa9Fvv6f5JQGMa6S3uhLh826e9N,"SolStack",367123604705353,HarmonicAgave
7Zm1pE4FubFYZDyAQ5Labh3A4cxDcvve1s3WCRgEAZ84,"7Zm1pE4FubFYZDyAQ5Labh3A4cxDcvve1s3WCRgEAZ84",365554455920679,AgaveBam
UPSCQNqdbiaqrQou9X9y8mr43ZHzvoNpKC26Mo7GubF,"",364398979263735,JitoLabs
Bi9kKNxfW2XqgCmLcuhHt6A3x55GuAGmrVZxRHLyVoQ4,"",359677616025457,HarmonicFrankendancer
8vk6QpG93JSaQCSgnycBsv5qmfQBk4qC9FjNA35E5JhU,"Tinydancer",354925163054884,Frankendancer Rev
2dfgsiSaZ51QYPsECMYMG247PXxyKdwkV9wTHoQb8YEC,"Astraeus",353705204389348,Rakurai
SSmBEooM7RkmyuXxuKgAhTvhQZ36Z3G2WsmLGJKoQLY,"SOL Strategies",350237981234048,Frankendancer
GkFT5nmcFVmJiLwuE98PjdF3LReMeq4WbejFHfwrnsgw,"KAST",349194696199673,AgaveBam
BoNKmNCGvoHS4CkKvYRnF21iEpUP827pZjhFGdA4t5as,"BONK",347397779656259,Harmonic
3cZSHGfNdaULpFAvGbWbxpVwzXB4gHdk8NFucPNR5pgA,"Ghost",345410764117178,JitoLabs
5d9Mdc2Zk8as8GL1AxQeXxv5htBBvC5bjfmsXC7UUWwG,"Maera",341503483969416,JitoLabs
CXPeim1wQMkcTvEHx9QdhgKREYYJD8bnaCCqPRwJ1to1,"Jito1 (Experimental)",340960230577525,AgaveBam
hy1oMaD3ViyJ8i6w1xjP79zAWBBaRd1zWdTW8zYXnwu,"Hylo",340500993830621,JitoLabs
mds4GEuiSgQRqveGyktWpETBFCb4AS2wDnhqwLHcT6Z,"",332068290467443,Agave
4XspXDcJy3DWZsVdaXrt8pE1xhcLpXDKkhj9XyjmWWNy,"Ubik Capital - 0% Fee, MEV",329637014648123,AgaveBam
SLAY6uN1zZpXBTfbuDDCesNmM5D288xrz8uYvfS3n41,"Solayer Validator [5% Commission + 100% MEV Kickback]",327971461372338,Rakurai
LeDbQ99QT342j9S5YdyXLrsq2Gu3T3dMGajExdAuE3V,"Ledger by Chorus One",326249328775453,JitoLabs
H9ENbtmy2tWFtAJNmpC8xQtbcr1NTp4FXLdphRaG8L2T,"Bubbles",320856907243893,JitoLabs
CkCMabrc3HgBgDkeKPXkbWuQpUuSqW7zs1Mg3HFArx61,"Sygnum Validators",319213822269540,JitoLabs
7GkMBmtrTZz8QbjSe1sXvAUtz7Pp42SQxfT5ymmJD4We,"Phantom Validator",317898083654765,AgaveBam
spcti6GQVvinbtHU9UAkbXhjTcBJaba1NVx4tmK4M5F,"Staker Space",315374604516291,AgaveBam
2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,"",310648324718991,AgaveBam
Ste1115xFGdAYK5jaWA3dEFcUc1S5jEbVvD8e327zty,"Stellium",309502020696975,JitoLabs
5MAGJ3zShtXMMVXjZRoFqtFF7XhP8iLSyZrxdL7KpjcB,"",308453552230107,JitoLabs
D2RV1q6FgePVVjrMa7AMzVbvvAeg5oS7TAV7qdNKSDsX,"Validatore",307498153718017,JitoLabs
FyrwfMaomErzqrFUXMjCJ7mA4u81DsiDdrzC3MJD6d4j,"1dad | Solfège",306674897354477,AgaveBam
3YVoK8UN62dyiPZnGBzBTkGdwsVmmK1MpRoLcxNRs9BE,"Calypso",305182242473670,JitoLabs
ALPHA6rdHZkx1om79xp47vX1iZXcbM3qfEwLyttZ1T7R,"Lifetime 0% fee + full MEV payout | Alphasearch",303485170051993,AgaveBam
nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY,"Hypo Nyms",302797993759856,HarmonicAgave
5ikB9XZNVsjwKb6hHT3FS3So1Z1SrDvU5yaniWEQyDEG,"",302375593848063,JitoLabs
44VSCibTpr8Fn1Hk8fazhkuSrrSTYZX2f76b2xqKPwmt,"",300593799233083,Rakurai
AHZxzLeRGRfNVFrCmP58iJgEwbcXyZeAkZ32CmbfEmYR,"",299997996434260,Firedancer
2oHUYyW2PU9VJh4XBs5TbGgzdernunvGqyKth3kxW4ns,"",298215460104719,AgaveBam
BULKzVM41WAyQZfL34vxqdsYwEYH9mJAJyzRS4xraf8b,"BULK",297566177687724,JitoLabs
5VrW7YNBccVnhnZVmooCePdLFcs2UjfxRT3hoY9mN8Ec,"Appleyello",295071496603804,AgaveBam
A4hyMd3FyvUJSRafDUSwtLLaQcxRP4r1BRC9w2AJ1to2,"Jito2",292455322860581,AgaveBam
HcZvwZ83PfjrQDiq3GLHxisTs17aGURs6bJ2LwtmL4qv,"SolGuardian",290581248706444,AgaveBam
8yjHdsCgx3bp2zEwGiWSMgwpFaCSzfYAHT1vk7KJBqhN,"JStaking: 0% fee · top returns",285347211130602,AgaveBam
bxrAptB5ZpZBhoLedJpoGWY5hBjjt3zvVBr2323Rrq6,"bloXroute EU",281138857600309,Rakurai
9AW87WqARQonyJYhx1G25fKfvjURFYVmHs79z1NUXDPD,"🔥Aurora staking",278658203516932,JitoLabs
HT41udB8mLZZf7tev9tUoHYJ41TP8GWZ6zFMbjiviXk5,"Neumann",278502742404953,JitoLabs
3B2mGaZoFwzAnWCoZ4EAKdps4FbYbDKQ48jo8u1XWynU,"Low Fee Validation TOP API 🔥",276345363704554,Rakurai
ETuPS3kRfLufz5VSYN2ZrePoEVSZSpgVPKz3MUZpYe3x,"",276120790413036,JitoLabs
EQhTjikb1L2jvxsCaSW2o2TuRXh4Do6HzBEWCxpeM44W,"JM",276102579272019,JitoLabs
FugJZepeGfh1Ruunhep19JC4F3Hr2FL3oKUMezoK8ajp,"Temporal Topaz",271186024981692,Harmonic
